date,home_team,away_team,home_score,away_score,
27/09/2022,Brasil,Tunísia,5,1,
27/09/2022,Canadá,Uruguai,0,2,
27/09/2022,Equador,Japão,0,0,
27/09/2022,Irã,Senegal,1,1,
27/09/2022,Coreia do Sul,Camarões,1,0,
27/09/2022,Arábia Saudita,Estados Unidos,0,0,
27/09/2022,Portugal,Espanha,0,1,
26/09/2022,Inglaterra,Alemanha,3,3,
25/09/2022,Dinamarca,França,2,0,
25/09/2022,País de Gales,Polônia,0,1,
25/09/2022,Holanda,Bélgica,1,0,
24/09/2022,Espanha,Suíça,1,2,
23/09/2022,Japão,Estados Unidos,2,0,
23/09/2022,Brasil,Gana,3,0,
23/09/2022,Canadá,Catar,2,0,
23/09/2022,Irã,Uruguai,1,0,
23/09/2022,Coreia do Sul,Costa Rica,2,2,
23/09/2022,Arábia Saudita,Equador,0,0,
22/09/2022,Croácia,Dinamarca,2,1,
22/09/2022,Bélgica,País de Gales,2,1,
22/09/2022,Polônia,Holanda,0,2,
14/06/2022,Holanda,País de Gales,3,2,
14/06/2022,Polônia,Bélgica,0,1,
14/06/2022,Japão,Tunísia,0,3,
13/06/2022,França,Croácia,0,1,
12/06/2022,Suíça,Portugal,1,0,
11/06/2022,País de Gales,Bélgica,1,1,
11/06/2022,Holanda,Polônia,2,2,
10/06/2022,Dinamarca,Croácia,0,1,
10/06/2022,Japão,Gana,4,1,
09/06/2022,Suíça,Espanha,0,1,
08/06/2022,País de Gales,Holanda,1,2,
08/06/2022,Bélgica,Polônia,6,1,
07/06/2022,Alemanha,Inglaterra,1,1,
06/06/2022,Croácia,França,1,1,
06/06/2022,Japão,Brasil,0,1,
05/06/2022,Portugal,Suíça,4,0,
05/06/2022,México,Equador,0,0,
05/06/2022,Estados Unidos,Uruguai,0,0,
03/06/2022,França,Dinamarca,1,2,
03/06/2022,Bélgica,Holanda,1,4,
02/06/2022,Espanha,Portugal,1,1,
02/06/2022,Coreia do Sul,Brasil,1,5,
02/06/2022,México,Uruguai,0,3,
01/06/2022,Polônia,País de Gales,2,1,
01/06/2022,Estados Unidos,Marrocos,3,0,
30/03/2022,Costa Rica,Estados Unidos,2,0,
29/03/2022,Arábia Saudita,Austrália,1,0,
29/03/2022,Equador,Argentina,1,1,
29/03/2022,Dinamarca,Sérvia,3,0,
29/03/2022,Holanda,Alemanha,1,1,
26/03/2022,Inglaterra,Suíça,2,1,
26/03/2022,Holanda,Dinamarca,4,2,
24/03/2022,México,Estados Unidos,0,0,
24/03/2022,Costa Rica,Canadá,1,0,
24/03/2022,Coreia do Sul,Irã,2,0,
24/03/2022,Austrália,Japão,0,2,
01/02/2022,Japão,Arábia Saudita,2,0,
30/01/2022,Canadá,Estados Unidos,2,0,
30/01/2022,México,Costa Rica,0,0,
27/01/2022,Equador,Brasil,1,1,
10/01/2022,Marrocos,Gana,1,0,
07/12/2021,Marrocos,Arábia Saudita,1,0,
16/11/2021,Canadá,México,2,1,
16/11/2021,País de Gales,Bélgica,1,1,
16/11/2021,Argentina,Brasil,0,0,
14/11/2021,Portugal,Sérvia,1,2,
12/11/2021,Canadá,Costa Rica,1,0,
12/11/2021,Estados Unidos,México,2,0,
12/11/2021,Uruguai,Argentina,0,1,
11/11/2021,Sérvia,Catar,4,0,
11/11/2021,Austrália,Arábia Saudita,0,0,
27/10/2021,México,Equador,2,3,
14/10/2021,Brasil,Uruguai,4,1,
13/10/2021,Estados Unidos,Costa Rica,2,1,
12/10/2021,Irã,Coreia do Sul,1,1,
12/10/2021,Japão,Austrália,2,1,
10/10/2021,Argentina,Uruguai,3,0,
10/10/2021,Espanha,França,1,2,
09/10/2021,Portugal,Catar,3,0,
07/10/2021,Arábia Saudita,Japão,1,0,
07/10/2021,México,Canadá,1,1,
07/10/2021,Bélgica,França,2,3,
09/09/2021,Uruguai,Equador,1,0,
08/09/2021,Polônia,Inglaterra,1,1,
05/09/2021,Costa Rica,México,0,1,
05/09/2021,Estados Unidos,Canadá,1,1,
04/09/2021,Catar,Portugal,1,3,
01/09/2021,Catar,Sérvia,0,4,
01/08/2021,Estados Unidos,México,1,0,
29/07/2021,México,Canadá,2,1,
29/07/2021,Estados Unidos,Catar,1,0,
25/07/2021,Costa Rica,Canadá,0,2,
18/07/2021,Estados Unidos,Canadá,1,0,
10/07/2021,Brasil,Argentina,0,1,
07/07/2021,Inglaterra,Dinamarca,2,1,
03/07/2021,Argentina,Equador,3,0,
02/07/2021,Suíça,Espanha,1,1,
29/06/2021,Inglaterra,Alemanha,2,0,
28/06/2021,Croácia,Espanha,3,5,
28/06/2021,França,Suíça,3,3,
27/06/2021,Bélgica,Portugal,1,0,
27/06/2021,Brasil,Equador,1,1,
26/06/2021,País de Gales,Dinamarca,0,4,
23/06/2021,Portugal,França,2,2,
19/06/2021,Espanha,Polônia,1,1,
19/06/2021,Alemanha,Portugal,4,2,
18/06/2021,Argentina,Uruguai,1,0,
17/06/2021,Dinamarca,Bélgica,1,2,
15/06/2021,Alemanha,França,0,1,
13/06/2021,Inglaterra,Croácia,1,0,
12/06/2021,País de Gales,Suíça,1,1,
11/06/2021,Japão,Sérvia,1,0,
09/06/2021,Estados Unidos,Costa Rica,4,0,
08/06/2021,Marrocos,Gana,1,0,
06/06/2021,Bélgica,Croácia,1,0,
06/06/2021,Estados Unidos,México,3,2,
04/06/2021,Espanha,Portugal,0,0,
04/06/2021,Brasil,Equador,2,0,
03/06/2021,México,Costa Rica,0,0,
02/06/2021,França,País de Gales,3,0,
02/06/2021,Alemanha,Dinamarca,1,1,
30/05/2021,Suíça,Estados Unidos,2,1,
31/03/2021,Inglaterra,Polônia,2,1,
30/03/2021,Costa Rica,México,0,1,
27/03/2021,País de Gales,México,1,0,
27/03/2021,Sérvia,Portugal,2,2,
25/03/2021,Japão,Coreia do Sul,3,0,
24/03/2021,Bélgica,País de Gales,3,1,
18/11/2020,Polônia,Holanda,1,2,
18/11/2020,Bélgica,Dinamarca,4,2,
17/11/2020,Croácia,Portugal,2,3,
17/11/2020,Espanha,Alemanha,6,0,
17/11/2020,Japão,México,0,2,
17/11/2020,Coreia do Sul,Catar,2,1,
17/11/2020,Uruguai,Brasil,0,2,
15/11/2020,Bélgica,Inglaterra,2,0,
14/11/2020,Portugal,França,0,1,
14/11/2020,Suíça,Espanha,1,1,
14/11/2020,México,Coreia do Sul,3,2,
13/11/2020,Costa Rica,Catar,1,1,
12/11/2020,País de Gales,Estados Unidos,0,0,
11/11/2020,Bélgica,Suíça,2,1,
11/11/2020,Holanda,Espanha,1,1,
14/10/2020,Inglaterra,Dinamarca,0,1,
14/10/2020,Croácia,França,1,2,
13/10/2020,Alemanha,Suíça,3,3,
13/10/2020,Equador,Uruguai,4,2,
12/10/2020,Gana,Catar,5,1,
11/10/2020,Inglaterra,Bélgica,2,1,
11/10/2020,França,Portugal,0,0,
10/10/2020,Espanha,Suíça,1,0,
09/10/2020,Japão,Camarões,0,0,
09/10/2020,Marrocos,Senegal,3,1,
08/10/2020,Inglaterra,País de Gales,3,0,
08/10/2020,Argentina,Equador,1,0,
07/10/2020,Holanda,México,0,1,
07/10/2020,Portugal,Espanha,0,0,
07/10/2020,Suíça,Croácia,1,2,
08/09/2020,Dinamarca,Inglaterra,0,0,
08/09/2020,França,Croácia,4,2,
06/09/2020,Suíça,Alemanha,1,1,
05/09/2020,Dinamarca,Bélgica,0,2,
05/09/2020,Portugal,Croácia,4,1,
04/09/2020,Holanda,Polônia,1,0,
03/09/2020,Alemanha,Espanha,1,1,
01/02/2020,Estados Unidos,Costa Rica,1,0,
18/12/2019,Coreia do Sul,Japão,1,0,
05/12/2019,Catar,Arábia Saudita,0,1,
19/11/2019,Brasil,Coreia do Sul,3,0,
18/11/2019,Argentina,Uruguai,2,2,
15/11/2019,Brasil,Argentina,0,1,
15/11/2019,Estados Unidos,Canadá,4,1,
15/10/2019,Canadá,Estados Unidos,2,0,
13/10/2019,País de Gales,Croácia,1,1,
13/10/2019,Equador,Argentina,1,6,
12/10/2019,Dinamarca,Suíça,1,0,
12/10/2019,Tunísia,Camarões,0,0,
10/10/2019,Brasil,Senegal,1,1,
09/10/2019,Alemanha,Argentina,2,2,
10/09/2019,Argentina,México,4,0,
10/09/2019,Estados Unidos,Uruguai,1,1,
07/09/2019,Sérvia,Portugal,2,4,
06/09/2019,Costa Rica,Uruguai,1,2,
06/09/2019,Estados Unidos,México,0,3,
06/09/2019,Alemanha,Holanda,2,4,
14/07/2019,Senegal,Tunísia,1,0,
08/07/2019,Gana,Tunísia,1,1,
07/07/2019,Estados Unidos,México,0,1,
02/07/2019,Brasil,Argentina,2,0,
29/06/2019,Camarões,Gana,0,0,
29/06/2019,México,Costa Rica,1,1,
24/06/2019,Equador,Japão,1,1,
23/06/2019,Catar,Argentina,0,2,
20/06/2019,Uruguai,Japão,2,2,
19/06/2019,México,Canadá,3,1,
16/06/2019,Uruguai,Equador,4,0,
11/06/2019,Croácia,Tunísia,1,2,
11/06/2019,Coreia do Sul,Irã,1,1,
09/06/2019,México,Equador,3,2,
09/06/2019,Suíça,Inglaterra,0,0,
